tourist_destination,review_post
The Manor at Camp John Hay,"While the facilities are a bit dated (which is to be expected with any historic property) the staff here were extremely attentive and on point. In addition, we were here during a 7.0 earthquake and I found the preparedness and professionalism of all the staff to be beyond reproach. They immediately evacuated all guests and immediately provided water, food, and blankets.  They made sure the building was safe before letting anyone back inside.  I commend everyone here for such a high level of service.  Bravo!"
The Manor at Camp John Hay,"Such a beautiful stay located in an extremely pleasant location!The staff are courteous, the interiors are beautiful and the food was amazing!The rooms are so well maintained and the views at the break of dawn would steal your heart!They also offer bicycles for rental which is a must try in the hilly roads - a fantastic experienceA definite stay place if you're in Baguio !!"
The Manor at Camp John Hay,"This will be a biased review as this is one of the place we stay in when in Baguio for our annual business vacation. The elegance and comfort afforded by the facilities is something I haven't seen in any other place here in Baguio. The staff are all courteous, friendly, efficient - and since we are here often, recognize us as regular guests.🙂The grounds of this hotel are expansive but always clean and we'll maintained. The indoor seating in public areas always allow for small nooks, crannies, pockets where you can just relax, have a drink, and enjoy the calming ambiance of the hotel.🙂Admittedly this place is pricey - but it's worth every peso. Baguio to me equates to The Manor. It's not Baguio unless we stay here.Tip: book your trips in advance. We learned to reserve and pay for our next visit on the day we checkout. Therefore, we're always assured that we can be accommodated each and every time.😊We'll be back again in December, and I can wait for that time to come.😊😊Rooms: GoodNearby activities: GoodFood & drinks: Good"
The Manor at Camp John Hay,"The best part about The Manor in Camp John Hay is the location. You're in what I consider to resemble most closely my childhood memories of visiting Baguio as a kid. The crisp cold air with the hint of that distinct pine smell is there - not so much in the city. We tried to go to the city the first day but gladly retreated back to Camp John Hay and didn't come back. Baguio City was just too busy. Plus, Camp John Hay has 3 small commercial areas nearby with restaurants, horse back riding, mini golf and a small area to bike with the kids. There's just enough activities within arm's length to fill a 3-day, 2-night visit that you don't feel the need to leave. There were 2 other places to stay nearby. I would try the Forrest Lodge as an alternative to the Manor next time. The rooms at the Manor are dated but iconic and well-maintained. The service was very kind but inconsistent maybe because the place was fully booked. Plenty of parking at the back."
The Manor at Camp John Hay,"The rooms are dated but very clean. Front desk and front of house staff are excellent. The dining room service is very slow setting up your table and we had to ask for water glasses, cutlery ect.  Buffet stations were often vacant and plates had to be ""borrowed"" from other stations. Coffee was not available. The breakfast was definitely NOT worth the 1,900pp charged."
The Manor at Camp John Hay,"Beautiful.  Magical. Amazing. I guess it's worth it based on the price of the rooms there (9k/night). You can rest well and the staff are very accomodating.  However, we were not informed that breakfast wasn't included in the stay. So you need to pay i think it was 1k+ for the buffet not really sure. But it was really good. Their Beef tapa is a must try!  So many activities available for guests, too!"
The Manor at Camp John Hay,"Laborious check in and check out procedure. For check out I had to talk to the desk THREE times. First attempt, can’t check out because the rest of my group is still waiting in the room for the bell hop. Second attempt, I was told they unsuccessfully verified my room because people were still in it. Third attempt, all he had to say to me was that our room had been verified. Each time I was asked to have a seat (there were no available chairs in the lobby). What a waste of time!The morning of departure we received THREE phone calls from the front desk. First, to confirm our reservation for the shuttle. Second and third, to remind us that check out was 1+ hours from that time.They kill you with the shuttle charges. Paid 300-900 for each ride when taxi equivalent is 100-150. There’s no number for a taxi so if you ask for one, you are at the mercy of whether one drives by.Breakfast was overpriced, considering what it is.BUT:Rooms were great. We enjoyed everything we bought from the bakery. I had an excellent massage at the spa."
The Manor at Camp John Hay,Customer service sucked! We waited nearly 2 hours beyond the check-in time for our room to be ready. The kitchen forgot to deliver our rice. The manager was gracious enough to offer discount and waived the bed fee for my additional guest. The servers DO NOT KNOW HOW TO LISTEN! …More
The Manor at Camp John Hay,Rooms were spacious but furnitures were outdated. Service was superb. We called to request for things we needed several times and the staff were kind enough to bring them to our guest room. If you like to be away from the city this is a very nice place to stay in but commuting is almost impossible. You must bring your own car as the hotel is in the middle of camp john hay.
The Manor at Camp John Hay,"Well maintained place but the  front desk customer service should improve.  They are not welcoming at all and even during my check out the lady was kinda snobbish! The restaurant though all waitresses were very good! Also, the bell boys are also very helpful and polite! …More"
