tourist_destination,review_post
Tam-awan Village,"Reconstruction of traditional huts and showcasing Baguio arts/history. Nice and short hike trail especially for young people to get them starting, or a couple looking for fun time out. Some stairs or walkways missing handrails though."
Tam-awan Village,Place is a bit dark as there were alot of trees. Highlight of the attraction would be the paintings made by i believe people living there. There was quite of it and if you love paintings and a little bit of trecking you will enjoy the place. You can also buy items there as there is a souvenir shop inside as well as home made kitchen food.
Tam-awan Village,"If you're into nature tripping, this is the place for you to explore. Though, one has to be ready to take the challenge in climbing lots of stairs. Entrance fee is discounted for students and seniors and paid upon registration. There's a hut selling souvenirs, another hut if you want to have a sketch of yourself, another hut where you can have a tattoo. Lots of things to explore and do. But for seniors, take note to visit when its summer cause the stones and steps are slippery and not senior friendly. There's also a gallery featuring paintings of local talents."
Tam-awan Village,Been here before and it was not exactly what I remembered. I remembered more art pieces back then. More sculptures and huts. Also don't bring a stroller here you won't be able to use it. It will just be an added weight. It's a hike going here so be ready.
Tam-awan Village,One of the best tourist spot in Baguio! The place is kinda far from the city but super worth it. Though it's not kid and senior friendly because the stairs are too steep. The place is still perfect if you want to learn about Ifugaos.
Tam-awan Village,"Amazing views at the very top view deck, you can even see the new Igorot Stone Kingdom nearby. Can be quite challenging to climb some high steps throughout for the children and elderly, and some steps were slippery, but it's the closest to nature you can be without doing actual hiking. The cool air is also a plus."
Tam-awan Village,"This village is a blend of Arts and Baguio's Nature. Located at Pinsao Proper Baguio City, art and nature loving indivoduals will surely enjoy this new tourist spot in the City. Nearby tourist spot are the Igurot Stone Kingdom and the famouse Baguio Strawberry Farm"
Tam-awan Village,"When I first visited this place 10 years ago, there were lots of artworks to see. It really showcase what it was like for the indigenous igorots to live during their time. That's why I decided to take my kid this time around. I was disappointed. Very few artworks. The hike turned slippery and dangerous because of the drizzle we were experiencing that day. So we didn't do the full hike. We had to turn back and leave. It was a waste of entrance fee because we didn't see much. Also, there were people in costume if you want to take pictures with them for an additional fee. We tried to get in one of the huts to explore but there are 2 men (the one in costume) that was sleeping inside. So we felt like we were intruding. But this is supposed to be huts on display. I feel like they shouldn't be in there sleeping."
Tam-awan Village,"It's a small village, like a cultural village. There's a short trek, I believe its around 20-25 mins trek. you can also have a picture taken with staffs wearing an igorot costume."
Tam-awan Village,"If the culture or living conditions of people from this area are unknown to you, this place is a must place to visit..it is rather small but it showcases thr houses, terrain..additionally for me very tasty food in the cafe, well worth the price you pay...."
Tam-awan Village,This is such an amazing place! I love how they preserved the trees in this area amidst the busy city life to where it was strategically located. Be prepared for it is cold inside because of the big trees surrounding it.There is also a café inside and some artists who sketches impromptu if you want your own.Tam-awan Village is open daily from 8AM to 6PM including holidays. General Admission is ₱60 only.
Tam-awan Village,"The basic entrance fee is Php60 for adults, Php40 for students, and PhP30 for children below 10 years old. Children 3 years old and below may enter for free. The entrance fee is not worth it for the place.  There is no information about their culture, tradition. You will visit the place by your own with out explaining anything about the place."
Tam-awan Village,"Omg. Loved it.   The art work is amazing but the dancers were the highlight of my trip to Bagio.   (However,  my fiance was very quick to pull me away from the very handsome boys after the dance.)"
Tam-awan Village,The plants are beautiful but it can be seen that the heritage places or old things used by the Igorots in the past have been neglected and the path is not cleaned a bit slippery and dangerous for the elderly
Tam-awan Village,"Extremely disappointing. There is hardly any information around the site to describe anything you are looking at - you cannot learn much here. It’s just a place for taking photos (and not a very good place for that either). Also, the directional signage is really bad so it’s hard to know where you’re supposed to go."
Tam-awan Village,"First time to come here and I must say, anyone who comes to baguio should visit this culture-rich venue. Nature embraces the place and traditional stuff takes you back in time as if you experience the igorot's life first hand. Traditional dances performed were also a delight!"
Tam-awan Village,"They presserved their tradition very well especially the traditional dance. If you love art, you will surely fell inlove with their paintings."
Tam-awan Village,"Tam-Awan Village is a cultural and art hub built by local artists to showcase and preserve the heritage of Cordillera. It’s a must-have addition to your Baguio Trip and you will learn about the origins and culture of our fellow Igorots. Discover the way of life of the Igorots, and enthrall yourself in their vibrant lineage and heritage in this garden in the sky. If you’re going to Baguio City, make sure to include Tam-Awan Village in your itinerary."
Tam-awan Village,"When in Baguio :Visited the Tam-awan Village (meaning vantage point). Again, one must have good stamina to complete the tour. Beautiful culture and heritage."
