tourist_destination,review_post
BenCab Museum,"Very nice museum. I enjoyed seeing arts plus a good view of a hill and trees in one of the veranda of the museum. If you're already hungry, you can order a snack at their Cafe Isabel located at the ground floor of the building. …More"
BenCab Museum,Really glad to have finally visited this place. I wouldn't wonder why sir Ben Cabrera is a National Artist. His works are magnificent and his taste on art is impeccable. Really glad the place has expanded so you get to enjoy and appreciate different types and media of art. Totally worth the time and effort. …More
BenCab Museum,"We bought an entrance ticket for 150pesos each. If you are fond of paintings, you can enjoy this place. If you want to eat in the restaurant inside the museum, make sure to bring enough money because 1 meal cost around 200pesos. When I asked the cashier how much is the bottled water, she didn't answer me. That's why I gave 4 stars😅 By the way, the bottled water cost 60pesos each😁"
BenCab Museum,It looks so good inside the museum. Taking videos and pictures with flash is not allowed though.It's also hard to get a taxi/grab there so I recommend that you bring your own car.
BenCab Museum,Must see when in Baguio for those in the art scene. They also have good cafe restaurant. Allocate a full day to tour the place and enjoy the experience the artist has brought to his guests.
BenCab Museum,"Interesting collection. I did really like some of the paintings. The view outside is also beautiful. There is a cafe at the lowest floor, will definitely try it next time."
BenCab Museum,BenCab Museum is a great place especially for art lovers like me. It houses several galleries of different artists and exhibits and a nice place for venue shows. It also has a nice café and beautiful farm and garden below the premises.• Parking Space: Ample• Staff: Super Friendly and Nice• General Admission: ₱150They are open Tuesdays to Sundays at 9AM to 6PM. Last entry for the museum is at 5:30 PM.PS: Make sure not to touch the artworks! 🙂
BenCab Museum,"This museum is very informative and of course beautiful and meaningful paintings. It has a cafe and something like mini pond that has ducks and fish which you can feed (can be bought from cafe) them. There is also a souveneir shop. Overall, it has a nice view and very calmly ❤Entrance Fee? Yes. Php150 per personCafe food price? Ranges from Php100 to Php300"
BenCab Museum,"If you are into art or just want to take artsy or hashtag cultured photos. You must visit Bencab! For only 150pesos you can enjoy various paintings from BenCab himself and other local artists.After touring around the museum and immersing yourself in art. You can take a seat on their café and order a food. The food tastes so good!! Actually, no restaurant or cafe failed me in Baguio!"
BenCab Museum,"This place is awesome. The main highlight of my Baguio trip. It features tributes to the work and life of the National Artist Benedicto Cabrera as well as highlights the history of his art. Also displayed are relics from the natives of the area.You can spend hours immersed in it all and afterwards relax and recharge at the cafe and garden at the lower deck. A bit pricey but of course taking it all in with the view makes every bite worth it. Had pares, bulalo, and basil pasta. Will definitely come back the next time we visit Baguio."
BenCab Museum,"Amazing museum on the outskirts of Baguio City. Extensive collection of beautiful cultural artifacts. The view cannot be understated as well. 10/10, would recommend. …More"
BenCab Museum,"A trip to Baguio will never be complete without going to this museum. I get that most of the artwork on display are still the same year-in, year-out, save for a gallery that’s being updated based on who’s exhibiting. But the sheer pull of BenCab himself, as well as the art he made of the place, with the museum building and then the garden and the ponds, and even the cafe, makes a pilgrimage to it worth it every time."
BenCab Museum,"Lovely museum in stunning grounds, definitely worth visiting if you're in Baguio. All of the art on display, by local artists, is excellent and the space itself is very nice. 150 entrance per adult.There is a cafe on the ground floor and a koi pond and seating area outside. The grounds of the property are huge and very beautiful - you can do an eco tour for an extra 150 per person to explore the grounds."
BenCab Museum,Love the curation of Filipino modern art in different mediums. They have other experiences as well; outdoor nipa hut on the lake and the cafe.Would be better if the front desk lady wasn't rude if you don't have smaller bills.. Also much better if they have gcash payment if they can't give you the change right away.
BenCab Museum,Adequate parking. Friendly staff. Php 150 entrance fee. Discounts available for students and senior citizens. Paintings and sculptures from renowned and upcoming artists. There is a cafe with a great view. Must see when in Baguio.
BenCab Museum,Super awesome... One should not miss visit this super amazing museum. Apart from the beautiful amazing materials in the museum... the outdoor of this museum is jaw-dropping          …More
BenCab Museum,Nice place to go to.... Nice pieces on display.... View is good....  Took so much photos with my besties.... The staff members are super helpful if you have questions about the art pieces and also helpful in helping us take nice selfies.       
BenCab Museum,"A go-to place whenever I’m in Baguio. Located at Asin Road. Just took jeepney from terminal near Burnham Park then the jeepney will stop at the Asin Terminal, few minutes walk to BenCab Museum. Entrance fee is around P150 (adult price). A good way to immerse on art and culture of Baguio. There’s a variety of painting and sculptures. At the ground floor, we dine in at Cafe Sabel - overlooking the garden, pond and mountain view."
BenCab Museum,Love the place. The museum and the outdoor. Saw other pieces aside from BenCab. They have a cafe and a souvenir place. Love how they categorically arranged the pieces.
