tourist_destination,review_post
Our Lady of the Atonement Cathedral (Baguio Cathedral) - Archdiocese of Nueva Segovia,"The Baguio Cathedral is in the center of the city, just along session road. You have to climb up the famous stiff stairs but you have an option to go the other way. The Cathedral itself is huge and it's amazing as it's well maintained church though there's a lot of people going to mass. There's a Chapel that you can go to if you want a more secluded area and more peace."
Our Lady of the Atonement Cathedral (Baguio Cathedral) - Archdiocese of Nueva Segovia,"The Baguio Cathedral is right at the center of the city. You can reach it via taxi, Grab or just follow google while driving.Parking spaces are available but you will be charged per hour. There is a ticket upon entering and they’ll charge you at the exit.There is also a food court but it was closed during our visit. Restrooms have minimal charge but are clean.When we got there, we were lucky to have heard mass and see and touch the Black Nazarene visiting Baguio."
Our Lady of the Atonement Cathedral (Baguio Cathedral) - Archdiocese of Nueva Segovia,Well maintained church. You have to climb up the famous steep stairs or you have an option to take the other way which is easier option if you are not willing to put some leg work. Very peaceful ambiance.
Our Lady of the Atonement Cathedral (Baguio Cathedral) - Archdiocese of Nueva Segovia,"This church is the seat of the Roman Catholic Diocese of Baguio. We went here on a weekday. Hence, there are no crowds, and we were able to pray in peace and silence. If you want to hear Mass, go early since it is always packed with crowds especially during Sundays. There is a pay parking area in the front courtyard. As in any church in the Philippines, services are held in Filipino and English."
Our Lady of the Atonement Cathedral (Baguio Cathedral) - Archdiocese of Nueva Segovia,One of the famous and historical landmarks in baguio. Located @ the heart of Baguio City. A very solemn and peaceful ambiance. A must visit specially for Roman Catholic.
Our Lady of the Atonement Cathedral (Baguio Cathedral) - Archdiocese of Nueva Segovia,"We attended the mass around 5pm. After the said mass, we were greeted with an thick fog outside.  Happy to be back again Baguio"
Our Lady of the Atonement Cathedral (Baguio Cathedral) - Archdiocese of Nueva Segovia,"Our Lady of Atonement Cathedral / Baguio CathedralOur Lady of Atonement Cathedral which is popularly known as Baguio Cathedral is a Roman Catholic cathedral which was constructed in 1920 and got finished 1936.  It got its name from one of the titles given to Mary mother of Jesus. This church has a simple but elegant facade which (was) pink in color with rose style windows. It is located on top of Mount Mary Hill where visitors can access it using hundred steps stoneMy side story:I originally planned to come here after my appointment(Nov 4, 2021) at the Nationwide Health Systems Baguio Inc. but had to got to Triage first to secure a health certificate. God must have wanted me to go for adoration time before anything else bc there was surprisingly enormous surge of people at the place and each priority number takes a while to get accommodated on the counter. At that time they just called out for #26 and I got #56 on the line and was growing anxious waiting with the uncertain time I have left so i hopped in a cab and went to this beautiful city cathedral. The cathedral was like 5-10mins away from Triage so i figured I can spend a little more time there after saying my prayers. By the way, the cathedral is currently on renovation so I just managed to take a few photos inside and prayed at the Face of Jesus mini chapel located at the back of the cathedral. After 30mins, decided to go back to Triage and arrived just in time! My PN was called in within 5 mins! ☺️☺️☺️As to my experience, Baguio Cathedral is a great place for spiritual reawakening! Try to visit and see why I said so 😉 I truly feel blessed for being able to visit and spend some prayer time here. My prayers were actually half answered by the time I stepped out of the clinic(my appointment in Baguio). Baguio Cathedral is a new addition to my favorite places ❤️🙏❤️"
Our Lady of the Atonement Cathedral (Baguio Cathedral) - Archdiocese of Nueva Segovia,No visit to Baguio should be complete without a visit to this church. Right in the heart of rhe city accessible from The famous Session road
Our Lady of the Atonement Cathedral (Baguio Cathedral) - Archdiocese of Nueva Segovia,"Love that they are masses every 30mins in the morning. It's a great first stop and start to any day.Upside: it's adjacent to, and accessible via, Porta Vaga, and via Session Road. There's enough parking spaces if you're driving. The interior has been preserved and the exterior is much cleaner now. It's near SM, Session Road, etc. Very convenient.Downside: it's quite a climb but there are PWD  rails and walkways at the front (main) entrance.Do we recommend this place? YesAre we going back? Yes"
Our Lady of the Atonement Cathedral (Baguio Cathedral) - Archdiocese of Nueva Segovia,A perfect place to offer your prayers. One of the recommended locations for you to visit even when your not religious. This church is one of the longest standing place of worship and its also near session road so it's easy to access. Great for photo opts as well with your friends or loveones. Has alot of parking space so no hassles for those travelling by car.Kindly give a LIKE 👍 if this helps!Follow ME for my other REVIEWS!
Our Lady of the Atonement Cathedral (Baguio Cathedral) - Archdiocese of Nueva Segovia,"Nice place & structure,But parking sucks.Overall i had a good visit from this place."
Our Lady of the Atonement Cathedral (Baguio Cathedral) - Archdiocese of Nueva Segovia,"Everyday I just pass by here , from morning before I go in and out from work. The church is always open to everybody. Even though you are not come in , you can talk to Jesus in your heart wherever you are.. That's my beliefs.. 🎅👰🏼‍♂️  👪😊✝💖❤"
