tourist_destination,review_post
Wright Park,"₱250/30minutes to ride a horse with a guide is not bad at all. The kids loved it. The guide was courteous, Kuya Rolly. The stroll around The Mansion and the mirror pool was my fave. The area had bike lanes and the paid restroom area had a landscaped zen like garden and was so clean. The whole area was clean and the lark was well kept. The pool had fishes on it. A few meters walk down towards botanical was a steak place you can wind down on, they have . Pine Country Steaks and Waffles! Highly recommended!"
Wright Park,Never fails to be mesmerizing. It's my 5th time to be here and I still enjoy going here. Nice to help local tourist spot and help boost their economy. Specially the ones that are striving to for it. If you love nature come here. But make sure it's the weekdays because weekends produce the most populous days to travel.
Wright Park,Part of Wright Park is under renovation. Love the view of many horses big and small. Also appreciate the efforts and presence of vendors around the park for more convenient tour. A thirty minute horseback riding is worth P300.
Wright Park,"When I was 8 yrs old we went to Baguio for a trip with my family. I wanted my child to have the same experiences and memories. Wright Park had more flowers more than 20 yrs ago. It was more beautiful. Now, even the trees are sparse and the water looks like its extremely murky. Nonetheless, I hope my boy holds these memories as precious as I hold my memories of Baguio when I was young."
Wright Park,"It is less crowded during the pandemic so we get to enjoy the park more.Great place to pass time, unwind and just to enjoy the beautiful scenery."
Wright Park,"This is where people visit for a horseback riding. As expected, there are many horses available but most of them seem unwell so we didn't tried to ride one. We just let the kid to experience it. They offer photo op with the horse and you just have to pay 50 pesos. The smell is quite not nice but understandable."
Wright Park,Nostalgic. Wright park is divided into 2. Upper and lower. The lower part is the horse backriding. The ride is 250/ 30minutes. I recommend camp john Hay if you want to horse backride because the space is limitedThe upper part is great. It is just across the Mansion. Make sure to take a photo at the long pond/reflection
Wright Park,"Ig worthy place. The fishes are cute, they all stop moving for a while. It's nice to take pictures here and also just a very refreshing place to explore. Bring a thicker mask or handkerchief because it stinks in the horse-riding area."
Wright Park,Kids enjoyed riding a horse around the city. P500/ head. Plus tip to your kuya tour guide. 😉
Wright Park,My kids enjoyed their time on top of their horses. We were the only one's in the park and we loves it.
Wright Park,"Just right.. for we need to cool up, we're family from Alaminos City Pangasinan.. hot place always and it is indeed a good chance to visit Baguio City 💖💖🎉"
Wright Park,"You can ride horses and see beautiful horses. Beside from that the ambiance is no goods, the trees and plants are refreshing. There’s not much to do"
Wright Park,"So nice to walk en the surrounding so refreshing and nice to my eyes en the weather too I want to back again ,the only one I say is thank God for the wonderful place He create for us"
Wright Park,The horse riding is a good experience for kids. Family oriented venue. Requires active physical activities.
Wright Park,The park is exceptionally serene and beautiful during non-peak hours. The amenities and gardens here are also dutifully maintained.
Wright Park,"Wright park is good for long walks, jogging, biking, breathing fresh air and smelling that pine tree breezed air.Cleanliness is maintained.Pet friendly.Budget friendly stores selling souvenirs.Horseriding activity.And lastly, that iconic huge dog where you can have tour picture taken with him for only Php50.00 (unli shots)."
Wright Park,We visit here around 5 pm it's not crowded since the park is about to close. We just took some photo and leave.
Wright Park,During our visit there was no flowers although the area is clean and well maintained.
Wright Park,"Very nice to loiter around,  not so crowded at this time. We had great fun!"
Wright Park,"I would suggest to go horse  back riding at camp john hay insteadThey have improved the trail but I would just personally recommend to do this at camp john hay :)Btw be mindful of the time, it is the 2nd time where we experienced the guide telling us that time is up even though we're just half way through our paid time. 🙄"
Wright Park,Kids enjoyed the Horseback ride. laughter from the kids is priceless...
Wright Park,"You can see the place is well maintained and cared by the city and its people. The grass are trimmed, no trash onsite and vendors have their own alley. They allow you to take pictures close enough but not too closed. Regular people do not have access to the mansion itself unless they are probable invited on special occasions."
Wright Park,you can never go wrong with Wright Park. emz😁😊
Wright Park,Prepare your knees for the few steps 😅 better start from The Mansion to Wright Park. Where you can ride the horses.
Wright Park,"I have to say, we enjoyed the whole trekking! ♥️"
Wright Park,"Just the smell. But he park is nice. Try to find the hidden grassy area right side of the park. Quiet, and grassy, good place to do a picnic on."
Wright Park,Some parts are still under construction. But you can enjoy horseback riding and taking pictures. There are souvenir shops in the area and food stalls. With pay comfort rooms.
Wright Park,Great place to take walks or bike ❤️
Wright Park,"Take time to relax on this park, after can do horsebackriding or go all the way to Mansion House"
Wright Park,Great scenery and clean comfort room
Wright Park,Great for morning runs. There are still plenty of pine trees.
Wright Park,This place has a lot to offer than my photo can tell 😁
Wright Park,"Amazing Experience riding  Horse, i am not ok by the smell of the  though, you can smell the urine of horses. But the experience and the peoples there are amazing"
Wright Park,"This park is perfect for those who are soul-searching or simply just want to escape from the loud city. Ideal place for a walk, meditation, relaxation and more."
Wright Park,I highly suggest to go here in the morning to enjoy the park and its cold climate. Its always a plus for me when one can enjoy the place without that much noise.There are beautiful flowers (but no picking). It is known for horseback riding and photo opportunity with dogs like Beethoven!
Wright Park,"This place is a must if you want to experience riding a horse and strolling in it within the vicinity. From the park, the Mansion is also accessible from here by foot through the stairs.The smell of horses and its dung is strong so for those who probably can not take it, just be ready and bring masks or towels."
Wright Park,"Finally got to enjoy this place lately as a Baguio local because it's been one of the most peaceful places during quarantine (since john hay is only open during sundays). Good for dog walks especially the trail, jogging, biking, skating and any other leisure. I haven't visited this place for several years as it gets easily flocked by tourists. Feels good to enjoy our own home!"
Wright Park,"A nice place to hang around upon visiting The Mansion. Lots of treat and souvenir to choose from. It has a wide space for horseback riding,  traditional attires to wear for picture taking, and of course, the cool weather to enjoy more the scene. However, there are undisciplined people who keep on throwing their trash anywhere they desire."
Wright Park,Here is a nice place to take a stroll and enjoy the surroundings. With great views and perfect weather you can enjoy spending some time here. I found there to be plenty of food options sweet and savour. Theres a chance to explore on horseback for a small fee. It can get busy here. With a short walk to the end of the park you will see the mansion this really is a well kept clean area. Take some great pictures with friends or family or even a quick selfie.
Wright Park,"The pine trails is a nice addition, specially if there are only few people visiting.  Please keep it like that and don't over develop."
Baguio Botanical Garden,"One of the best gardens I visited. This place  is Eden-like cozy version. If you are dreaming of going to Denmark or Amsterdam or any European countries but on a very tight budget, this is a good alternative.The place is clean, the flowers are beautiful. The ambiance of the place is relaxing. There are food stalls too where you can just sit, eat, relax, stroll and repeat.This is also a good place to propose!"
Baguio Botanical Garden,"Marvel at the best landscape architectural project I have ever seen. Don't be fooled by it's name this isn't your typical plant based attraction.This place will be very hard to explain in words so it is best if you see it in personal. It has different cultural gardens. It has a great play with elevation. It has tunnels it has great paid comfort room that brings you deep inside the rain forest. But most importantly, it has a coffee shop situated perfectly to feast your eyes with a view."
